,Date,Team,Loc,Opp,WL,RS,RA,Name,ERA,FIP
2153,May 12,marlins,vs,CIN,L,4,7,Graham Ashcraft,3.82,3.89
2154,May 13,marlins,vs,CIN,L,5,6,Derek Law,2.79,5.2
2155,May 14,marlins,vs,CIN,W,3,1,Luke Weaver,7.36,7.19
2156,May 16,marlins,vs,WSN,W,5,4,Josiah Gray,2.96,4.34
2157,May 17,marlins,vs,WSN,W,4,3,MacKenzie Gore,3.29,3.6
2158,May 18,marlins,vs,WSN,W,5,3,Trevor Williams,4.23,4.69
2159,May 19,marlins,at,SFG,L,3,4,Anthony DeSclafani,3.06,3.28
2160,May 20,marlins,at,SFG,W,1,0,Logan Webb,3.2,3.74
2161,May 21,marlins,at,SFG,L,5,7,Alex Wood,2.87,3.99
2162,May 22,marlins,at,COL,L,3,5,Chase Anderson,5.412842655433341,4.874726837766857
2163,May 23,marlins,at,COL,L,4,5,Austin Gomber,6.7,5.83
2164,May 24,marlins,at,COL,W,10,2,Karl Kauffmann,8.31,5.82
2165,May 25,marlins,at,COL,L,6,7,Kyle Freeland,3.88,4.48
2166,May 26,marlins,at,LAA,W,6,2,Reid Detmers,4.87,3.43
2167,May 27,marlins,at,LAA,W,8,5,Shohei Ohtani,3.05,4.01
2168,May 28,marlins,at,LAA,W,2,0,Patrick Sandoval,3.47,4.03
2169,May 30,marlins,vs,SDP,L,4,9,Ryan Weathers,3.94,4.16
2170,May 31,marlins,vs,SDP,W,2,1,Blake Snell,5.04,5.38
2171,Jun 1,marlins,vs,SDP,L,1,10,Joe Musgrove,5.64,4.9
2172,Jun 2,marlins,vs,OAK,W,4,0,Shintaro Fujinami,12.0,5.75
2173,Jun 3,marlins,vs,OAK,W,12,1,Luis Medina,6.83,7.33
2174,Jun 4,marlins,vs,OAK,W,7,5,Paul Blackburn,2.25,1.78
2175,Jun 5,marlins,vs,KCR,W,9,6,Carlos Hernandez,4.76,2.83
2176,Jun 6,marlins,vs,KCR,W,6,1,Zack Greinke,4.19,4.34
2177,Jun 7,marlins,vs,KCR,W,6,1,Jordan Lyles,6.89,6.13
2178,Jun 9,marlins,at,CHW,L,1,2,Dylan Cease,4.63,4.27
2179,Jun 10,marlins,at,CHW,W,5,1,Michael Kopech,4.33,5.48
2180,Jun 11,marlins,at,CHW,W,6,5,Lucas Giolito,3.75,4.29
2181,Jun 12,marlins,at,SEA,L,1,8,Bryce Miller,5.412842655433341,4.874726837766857
2182,Jun 13,marlins,at,SEA,L,3,9,George Kirby,5.412842655433341,4.874726837766857
2183,Jun 14,marlins,at,SEA,W,4,1,Luis Castillo,5.412842655433341,4.874726837766857
2184,Jun 16,marlins,at,WSN,W,6,5,Trevor Williams,5.412842655433341,4.874726837766857
2185,Jun 17,marlins,at,WSN,W,5,2,Jake Irvin,5.412842655433341,4.874726837766857
2186,Jun 18,marlins,at,WSN,W,4,2,Patrick Corbin,5.412842655433341,4.874726837766857
2187,Jun 19,marlins,vs,TOR,W,11,0,Jose Berrios,5.412842655433341,4.874726837766857
2188,Jun 20,marlins,vs,TOR,L,0,2,Yusei Kikuchi,5.412842655433341,4.874726837766857
2189,Jun 21,marlins,vs,TOR,L,3,6,Kevin Gausman,5.412842655433341,4.874726837766857
2190,Jun 22,marlins,vs,PIT,W,6,4,Mitch Keller,5.412842655433341,4.874726837766857
2191,Jun 23,marlins,vs,PIT,L,1,3,Luis L. Ortiz,5.412842655433341,4.874726837766857
2192,Jun 24,marlins,vs,PIT,W,4,3,Osvaldo Bido,5.412842655433341,4.874726837766857
2193,Jun 25,marlins,vs,PIT,W,2,0,Johan Oviedo,5.412842655433341,4.874726837766857
2194,Jun 27,marlins,at,BOS,W,10,1,Garrett Whitlock,5.412842655433341,4.874726837766857
2195,Jun 28,marlins,at,BOS,W,6,2,Kaleb Ort,5.412842655433341,4.874726837766857
2196,Jun 29,marlins,at,BOS,W,2,0,Brayan Bello,5.412842655433341,4.874726837766857
2197,Jun 30,marlins,at,ATL,L,4,16,Michael Soroka,5.412842655433341,4.874726837766857
2198,Jul 1,marlins,at,ATL,L,0,7,Charlie Morton,5.412842655433341,4.874726837766857
2199,Jul 2,marlins,at,ATL,L,3,6,Spencer Strider,5.412842655433341,4.874726837766857
2200,Jul 3,marlins,vs,STL,W,5,4,Miles Mikolas,5.412842655433341,4.874726837766857
2201,Jul 4,marlins,vs,STL,W,15,2,Adam Wainwright,5.412842655433341,4.874726837766857
2202,Jul 5,marlins,vs,STL,W,10,9,Matthew Liberatore,5.412842655433341,4.874726837766857
2203,Jul 6,marlins,vs,STL,L,0,3,Jack Flaherty,5.412842655433341,4.874726837766857
2204,Jul 7,marlins,vs,PHI,L,3,4,Zack Wheeler,5.412842655433341,4.874726837766857
2205,Jul 8,marlins,vs,PHI,,,,Ranger Suarez,5.412842655433341,4.874726837766857
2206,Jul 9,marlins,vs,PHI,,,,Aaron Nola,5.412842655433341,4.874726837766857
2207,Jul 14,marlins,at,BAL,,,,Dean Kremer,5.412842655433341,4.874726837766857
2208,Jul 15,marlins,at,BAL,,,,Tyler Wells,5.412842655433341,4.874726837766857
2209,Jul 16,marlins,at,BAL,,,,Kyle Gibson,5.412842655433341,4.874726837766857
2210,Jul 17,marlins,at,STL,,,,Steven Matz,5.412842655433341,4.874726837766857
2211,Jul 18,marlins,at,STL,,,,Dakota Hudson,5.412842655433341,4.874726837766857
2212,Jul 19,marlins,at,STL,,,,Jack Flaherty,5.412842655433341,4.874726837766857
2213,Jul 21,marlins,vs,COL,,,,Kyle Freeland,5.412842655433341,4.874726837766857
2214,Jul 22,marlins,vs,COL,,,,Austin Gomber,5.412842655433341,4.874726837766857
2215,Jul 23,marlins,vs,COL,,,,,5.412842655433341,4.874726837766857
2216,Jul 25,marlins,at,TBR,,,,,5.412842655433341,4.874726837766857
2217,Jul 26,marlins,at,TBR,,,,,5.412842655433341,4.874726837766857
2218,Jul 28,marlins,vs,DET,,,,,5.412842655433341,4.874726837766857
2219,Jul 29,marlins,vs,DET,,,,,5.412842655433341,4.874726837766857
2220,Jul 30,marlins,vs,DET,,,,,5.412842655433341,4.874726837766857
2221,Jul 31,marlins,vs,PHI,,,,,5.412842655433341,4.874726837766857
2222,Aug 1,marlins,vs,PHI,,,,,5.412842655433341,4.874726837766857
2223,Aug 2,marlins,vs,PHI,,,,,5.412842655433341,4.874726837766857
2224,Aug 3,marlins,vs,PHI,,,,,5.412842655433341,4.874726837766857
2225,Aug 4,marlins,at,TEX,,,,,5.412842655433341,4.874726837766857
2226,Aug 5,marlins,at,TEX,,,,,5.412842655433341,4.874726837766857
2227,Aug 6,marlins,at,TEX,,,,,5.412842655433341,4.874726837766857
2228,Aug 7,marlins,at,CIN,,,,,5.412842655433341,4.874726837766857
2229,Aug 8,marlins,at,CIN,,,,,5.412842655433341,4.874726837766857
2230,Aug 9,marlins,at,CIN,,,,,5.412842655433341,4.874726837766857
2231,Aug 11,marlins,vs,NYY,,,,,5.412842655433341,4.874726837766857
2232,Aug 12,marlins,vs,NYY,,,,,5.412842655433341,4.874726837766857
2233,Aug 13,marlins,vs,NYY,,,,,5.412842655433341,4.874726837766857
2234,Aug 14,marlins,vs,HOU,,,,,5.412842655433341,4.874726837766857
2235,Aug 15,marlins,vs,HOU,,,,,5.412842655433341,4.874726837766857
2236,Aug 16,marlins,vs,HOU,,,,,5.412842655433341,4.874726837766857
2237,Aug 18,marlins,at,LAD,,,,,5.412842655433341,4.874726837766857
2238,Aug 19,marlins,at,LAD,,,,,5.412842655433341,4.874726837766857
2239,Aug 20,marlins,at,LAD,,,,,5.412842655433341,4.874726837766857
2240,Aug 21,marlins,at,SDP,,,,,5.412842655433341,4.874726837766857
2241,Aug 22,marlins,at,SDP,,,,,5.412842655433341,4.874726837766857
2242,Aug 23,marlins,at,SDP,,,,,5.412842655433341,4.874726837766857
2243,Aug 25,marlins,vs,WSN,,,,,5.412842655433341,4.874726837766857
2244,Aug 26,marlins,vs,WSN,,,,,5.412842655433341,4.874726837766857
2245,Aug 27,marlins,vs,WSN,,,,,5.412842655433341,4.874726837766857
2246,Aug 29,marlins,vs,TBR,,,,,5.412842655433341,4.874726837766857
2247,Aug 30,marlins,vs,TBR,,,,,5.412842655433341,4.874726837766857
2248,Aug 31,marlins,at,WSN,,,,,5.412842655433341,4.874726837766857
2249,Sep 1,marlins,at,WSN,,,,,5.412842655433341,4.874726837766857
2250,Sep 2,marlins,at,WSN,,,,,5.412842655433341,4.874726837766857
2251,Sep 3,marlins,at,WSN,,,,,5.412842655433341,4.874726837766857
2252,Sep 5,marlins,vs,LAD,,,,,5.412842655433341,4.874726837766857
2253,Sep 6,marlins,vs,LAD,,,,,5.412842655433341,4.874726837766857
2254,Sep 7,marlins,vs,LAD,,,,,5.412842655433341,4.874726837766857
2255,Sep 8,marlins,at,PHI,,,,,5.412842655433341,4.874726837766857
2256,Sep 9,marlins,at,PHI,,,,,5.412842655433341,4.874726837766857
2257,Sep 10,marlins,at,PHI,,,,,5.412842655433341,4.874726837766857
2258,Sep 11,marlins,at,MIL,,,,,5.412842655433341,4.874726837766857
2259,Sep 12,marlins,at,MIL,,,,,5.412842655433341,4.874726837766857
2260,Sep 13,marlins,at,MIL,,,,,5.412842655433341,4.874726837766857
2261,Sep 14,marlins,at,MIL,,,,,5.412842655433341,4.874726837766857
2262,Sep 15,marlins,vs,ATL,,,,,5.412842655433341,4.874726837766857
2263,Sep 16,marlins,vs,ATL,,,,,5.412842655433341,4.874726837766857
2264,Sep 17,marlins,vs,ATL,,,,,5.412842655433341,4.874726837766857
2265,Sep 18,marlins,vs,NYM,,,,,5.412842655433341,4.874726837766857
2266,Sep 19,marlins,vs,NYM,,,,,5.412842655433341,4.874726837766857
2267,Sep 20,marlins,vs,NYM,,,,,5.412842655433341,4.874726837766857
2268,Sep 22,marlins,vs,MIL,,,,,5.412842655433341,4.874726837766857
2269,Sep 23,marlins,vs,MIL,,,,,5.412842655433341,4.874726837766857
2270,Sep 24,marlins,vs,MIL,,,,,5.412842655433341,4.874726837766857
2271,Sep 26,marlins,at,NYM,,,,,5.412842655433341,4.874726837766857
2272,Sep 27,marlins,at,NYM,,,,,5.412842655433341,4.874726837766857
2273,Sep 28,marlins,at,NYM,,,,,5.412842655433341,4.874726837766857
2274,Sep 29,marlins,at,PIT,,,,,5.412842655433341,4.874726837766857
2275,Sep 30,marlins,at,PIT,,,,,5.412842655433341,4.874726837766857
2276,Oct 1,marlins,at,PIT,,,,,5.412842655433341,4.874726837766857
2277,na,na,na,na,na,na,na,na,5.412842655433341,4.874726837766857
2278,Mar 30,mets,at,MIA,W,5,3,Sandy Alcantara,5.412842655433341,4.874726837766857
2279,Mar 31,mets,at,MIA,L,1,2,Jesus Luzardo,5.412842655433341,4.874726837766857
2280,Apr 1,mets,at,MIA,W,6,2,Edward Cabrera,5.412842655433341,4.874726837766857
2281,Apr 2,mets,at,MIA,W,5,1,Trevor Rogers,5.412842655433341,4.874726837766857
2282,Apr 3,mets,at,MIL,L,0,10,Freddy Peralta,5.412842655433341,4.874726837766857
2283,Apr 4,mets,at,MIL,L,0,9,Wade Miley,5.412842655433341,4.874726837766857
2284,Apr 5,mets,at,MIL,L,6,7,Corbin Burnes,7.2,4.48
2285,Apr 7,mets,vs,MIA,W,9,3,Edward Cabrera,4.5,6.78
2286,Apr 8,mets,vs,MIA,W,5,2,Trevor Rogers,6.23,7.21
2287,Apr 9,mets,vs,MIA,L,2,7,Braxton Garrett,6.0,6.95
2288,Apr 10,mets,vs,SDP,W,5,0,Yu Darvish,1.8,5.68
2289,Apr 11,mets,vs,SDP,L,2,4,Ryan Weathers,3.6,3.08
2290,Apr 12,mets,vs,SDP,W,5,2,Blake Snell,7.88,4.03
2291,Apr 14,mets,at,OAK,W,17,6,James Kaprielian,11.17,8.56
2292,Apr 15,mets,at,OAK,W,3,2,Shintaro Fujinami,17.55,5.38
2293,Apr 16,mets,at,OAK,W,4,3,JP Sears,5.59,6.39
2294,Apr 17,mets,at,LAD,W,8,6,Dustin May,1.47,3.12
2295,Apr 18,mets,at,LAD,L,0,5,Clayton Kershaw,3.5,4.4
2296,Apr 19,mets,at,LAD,W,5,3,Noah Syndergaard,5.63,4.35
2297,Apr 20,mets,at,SFG,W,9,4,Sean Manaea,4.76,4.61
2298,Apr 21,mets,at,SFG,W,7,0,Anthony DeSclafani,1.42,2.28
2299,Apr 22,mets,at,SFG,L,4,7,Logan Webb,4.94,4.17
2300,Apr 23,mets,at,SFG,L,4,5,Ross Stripling,7.3,8.72
2301,Apr 25,mets,vs,WSN,L,0,5,Josiah Gray,3.74,5.73
2302,Apr 26,mets,vs,WSN,L,1,4,MacKenzie Gore,3.43,4.14
2303,Apr 27,mets,vs,WSN,W,9,8,Trevor Williams,3.38,4.6
2304,Apr 28,mets,vs,ATL,L,0,4,Max Fried,0.6,2.42
2305,May 1,mets,vs,ATL,L,8,9,Spencer Strider,1.8,1.65
2306,May 1,mets,vs,ATL,W,5,3,Charlie Morton,2.76,4.27
2307,May 3,mets,at,DET,L,5,6,Joey Wentz,6.45,4.45
2308,May 3,mets,at,DET,L,1,8,Michael Lorenzen,7.07,5.21
2309,May 4,mets,at,DET,L,0,2,Eduardo Rodriguez,2.21,3.64
2310,May 5,mets,vs,COL,W,1,0,Antonio Senzatela,5.412842655433341,4.874726837766857
2311,May 6,mets,vs,COL,L,2,5,Austin Gomber,7.57,6.28
2312,May 7,mets,vs,COL,L,6,13,Ryan Feltner,4.45,3.65
2313,May 9,mets,at,CIN,L,6,7,Luke Weaver,7.88,6.28
2314,May 10,mets,at,CIN,W,2,1,Hunter Greene,3.74,2.9
2315,May 11,mets,at,CIN,L,0,5,Derek Law,3.0,5.28
2316,May 12,mets,at,WSN,W,3,2,MacKenzie Gore,3.65,3.64
2317,May 13,mets,at,WSN,L,2,3,Trevor Williams,4.25,4.84
2318,May 14,mets,at,WSN,W,8,2,Jake Irvin,0.84,4.03
2319,May 15,mets,at,WSN,L,3,10,Patrick Corbin,4.87,4.59
2320,May 16,mets,vs,TBR,L,5,8,Jalen Beeks,5.4,4.63
2321,May 17,mets,vs,TBR,W,8,7,Josh Fleming,4.26,4.77
2322,May 18,mets,vs,TBR,W,3,2,Taj Bradley,3.52,2.57
2323,May 19,mets,vs,CLE,W,10,9,Cal Quantrill,3.97,4.83
2324,May 21,mets,vs,CLE,W,5,4,Tanner Bibee,3.22,2.7
2325,May 21,mets,vs,CLE,W,2,1,Shane Bieber,3.2,3.89
2326,May 23,mets,at,CHC,L,2,7,Drew Smyly,2.86,3.46
2327,May 24,mets,at,CHC,L,2,4,Marcus Stroman,3.05,3.57
2328,May 25,mets,at,CHC,W,10,1,Kyle Hendricks,5.412842655433341,4.874726837766857
2329,May 26,mets,at,COL,W,5,2,Connor Seabold,5.97,5.59
2330,May 27,mets,at,COL,L,7,10,Chase Anderson,5.412842655433341,4.874726837766857
2331,May 28,mets,at,COL,L,10,11,Austin Gomber,6.48,6.04
2332,May 30,mets,vs,PHI,W,2,0,Ranger Suarez,9.82,3.47
2333,May 31,mets,vs,PHI,W,4,1,Aaron Nola,4.59,4.32
2334,Jun 1,mets,vs,PHI,W,4,2,Taijuan Walker,5.57,5.16
2335,Jun 2,mets,vs,TOR,L,0,3,Chris Bassitt,3.8,5.21
2336,Jun 3,mets,vs,TOR,L,1,2,Jose Berrios,3.86,3.79
2337,Jun 4,mets,vs,TOR,L,4,6,Yusei Kikuchi,4.47,5.96
2338,Jun 6,mets,at,ATL,L,4,6,Bryce Elder,1.92,3.42
2339,Jun 7,mets,at,ATL,L,5,7,Charlie Morton,3.62,3.56
2340,Jun 8,mets,at,ATL,L,10,13,Spencer Strider,2.97,2.59
2341,Jun 9,mets,at,PIT,L,7,14,Rich Hill,4.41,4.42
2342,Jun 10,mets,at,PIT,W,5,1,Johan Oviedo,4.29,4.06
2343,Jun 11,mets,at,PIT,L,1,2,Mitch Keller,3.6,3.17
2344,Jun 13,mets,vs,NYY,L,6,7,Luis Severino,5.412842655433341,4.874726837766857
2345,Jun 14,mets,vs,NYY,W,4,3,Gerrit Cole,5.412842655433341,4.874726837766857
2346,Jun 16,mets,vs,STL,W,6,1,Miles Mikolas,5.412842655433341,4.874726837766857
2347,Jun 17,mets,vs,STL,L,3,5,Adam Wainwright,5.412842655433341,4.874726837766857
2348,Jun 18,mets,vs,STL,L,7,8,Matthew Liberatore,5.412842655433341,4.874726837766857
2349,Jun 19,mets,at,HOU,W,11,1,Hunter Brown,5.412842655433341,4.874726837766857
2350,Jun 20,mets,at,HOU,L,2,4,Framber Valdez,5.412842655433341,4.874726837766857
2351,Jun 21,mets,at,HOU,L,8,10,Cristian Javier,5.412842655433341,4.874726837766857
2352,Jun 23,mets,at,PHI,L,1,5,Taijuan Walker,5.412842655433341,4.874726837766857
2353,Jun 24,mets,at,PHI,W,4,2,Cristopher Sanchez,5.412842655433341,4.874726837766857
2354,Jun 25,mets,at,PHI,L,6,7,Zack Wheeler,5.412842655433341,4.874726837766857
2355,Jun 26,mets,vs,MIL,L,1,2,Colin Rea,5.412842655433341,4.874726837766857
2356,Jun 27,mets,vs,MIL,W,7,2,Julio Teheran,5.412842655433341,4.874726837766857
2357,Jun 28,mets,vs,MIL,L,2,5,Wade Miley,5.412842655433341,4.874726837766857
2358,Jun 29,mets,vs,MIL,L,2,3,Adrian Houser,5.412842655433341,4.874726837766857
2359,Jun 30,mets,vs,SFG,L,4,5,Alex Cobb,5.412842655433341,4.874726837766857
2360,Jul 1,mets,vs,SFG,W,4,1,Anthony DeSclafani,5.412842655433341,4.874726837766857
2361,Jul 2,mets,vs,SFG,W,8,4,Ross Stripling,5.412842655433341,4.874726837766857
2362,Jul 4,mets,at,ARI,W,8,5,Zach Davies,5.412842655433341,4.874726837766857
2363,Jul 5,mets,at,ARI,W,2,1,Tommy Henry,5.412842655433341,4.874726837766857
2364,Jul 6,mets,at,ARI,W,9,0,Ryne Nelson,5.412842655433341,4.874726837766857
2365,Jul 7,mets,at,SDP,W,7,5,Yu Darvish,5.412842655433341,4.874726837766857
2366,Jul 8,mets,at,SDP,,,,Blake Snell,5.412842655433341,4.874726837766857
2367,Jul 9,mets,at,SDP,,,,Joe Musgrove,5.412842655433341,4.874726837766857
2368,Jul 14,mets,vs,LAD,,,,Julio Urias,5.412842655433341,4.874726837766857
2369,Jul 15,mets,vs,LAD,,,,Tony Gonsolin,5.412842655433341,4.874726837766857
2370,Jul 16,mets,vs,LAD,,,,Bobby Miller,5.412842655433341,4.874726837766857
2371,Jul 18,mets,vs,CHW,,,,Touki Toussaint,5.412842655433341,4.874726837766857
2372,Jul 19,mets,vs,CHW,,,,Lance Lynn,5.412842655433341,4.874726837766857
2373,Jul 20,mets,vs,CHW,,,,Dylan Cease,5.412842655433341,4.874726837766857
2374,Jul 21,mets,at,BOS,,,,Brayan Bello,5.412842655433341,4.874726837766857
2375,Jul 22,mets,at,BOS,,,,Kutter Crawford,5.412842655433341,4.874726837766857
2376,Jul 23,mets,at,BOS,,,,,5.412842655433341,4.874726837766857
2377,Jul 25,mets,at,NYY,,,,,5.412842655433341,4.874726837766857
2378,Jul 26,mets,at,NYY,,,,,5.412842655433341,4.874726837766857
2379,Jul 27,mets,vs,WSN,,,,,5.412842655433341,4.874726837766857
2380,Jul 28,mets,vs,WSN,,,,,5.412842655433341,4.874726837766857
2381,Jul 29,mets,vs,WSN,,,,,5.412842655433341,4.874726837766857
2382,Jul 30,mets,vs,WSN,,,,,5.412842655433341,4.874726837766857
2383,Aug 1,mets,at,KCR,,,,,5.412842655433341,4.874726837766857
2384,Aug 2,mets,at,KCR,,,,,5.412842655433341,4.874726837766857
2385,Aug 3,mets,at,KCR,,,,,5.412842655433341,4.874726837766857
2386,Aug 4,mets,at,BAL,,,,,5.412842655433341,4.874726837766857
2387,Aug 5,mets,at,BAL,,,,,5.412842655433341,4.874726837766857
2388,Aug 6,mets,at,BAL,,,,,5.412842655433341,4.874726837766857
2389,Aug 7,mets,vs,CHC,,,,,5.412842655433341,4.874726837766857
2390,Aug 8,mets,vs,CHC,,,,,5.412842655433341,4.874726837766857
2391,Aug 9,mets,vs,CHC,,,,,5.412842655433341,4.874726837766857
2392,Aug 11,mets,vs,ATL,,,,,5.412842655433341,4.874726837766857
2393,Aug 12,mets,vs,ATL,,,,,5.412842655433341,4.874726837766857
2394,Aug 13,mets,vs,ATL,,,,,5.412842655433341,4.874726837766857
2395,Aug 14,mets,vs,PIT,,,,,5.412842655433341,4.874726837766857
2396,Aug 15,mets,vs,PIT,,,,,5.412842655433341,4.874726837766857
2397,Aug 16,mets,vs,PIT,,,,,5.412842655433341,4.874726837766857
2398,Aug 17,mets,at,STL,,,,,5.412842655433341,4.874726837766857
2399,Aug 18,mets,at,STL,,,,,5.412842655433341,4.874726837766857
2400,Aug 19,mets,at,STL,,,,,5.412842655433341,4.874726837766857
2401,Aug 20,mets,at,STL,,,,,5.412842655433341,4.874726837766857
2402,Aug 21,mets,at,ATL,,,,,5.412842655433341,4.874726837766857
2403,Aug 22,mets,at,ATL,,,,,5.412842655433341,4.874726837766857
2404,Aug 23,mets,at,ATL,,,,,5.412842655433341,4.874726837766857
2405,Aug 25,mets,vs,LAA,,,,,5.412842655433341,4.874726837766857
2406,Aug 26,mets,vs,LAA,,,,,5.412842655433341,4.874726837766857
2407,Aug 27,mets,vs,LAA,,,,,5.412842655433341,4.874726837766857
2408,Aug 28,mets,vs,TEX,,,,,5.412842655433341,4.874726837766857
2409,Aug 29,mets,vs,TEX,,,,,5.412842655433341,4.874726837766857
2410,Aug 30,mets,vs,TEX,,,,,5.412842655433341,4.874726837766857
2411,Sep 1,mets,vs,SEA,,,,,5.412842655433341,4.874726837766857
2412,Sep 2,mets,vs,SEA,,,,,5.412842655433341,4.874726837766857
2413,Sep 3,mets,vs,SEA,,,,,5.412842655433341,4.874726837766857
2414,Sep 5,mets,at,WSN,,,,,5.412842655433341,4.874726837766857
2415,Sep 6,mets,at,WSN,,,,,5.412842655433341,4.874726837766857
2416,Sep 8,mets,at,MIN,,,,,5.412842655433341,4.874726837766857
2417,Sep 9,mets,at,MIN,,,,,5.412842655433341,4.874726837766857
2418,Sep 10,mets,at,MIN,,,,,5.412842655433341,4.874726837766857
2419,Sep 11,mets,vs,ARI,,,,,5.412842655433341,4.874726837766857
2420,Sep 12,mets,vs,ARI,,,,,5.412842655433341,4.874726837766857
2421,Sep 13,mets,vs,ARI,,,,,5.412842655433341,4.874726837766857
2422,Sep 14,mets,vs,ARI,,,,,5.412842655433341,4.874726837766857
2423,Sep 15,mets,vs,CIN,,,,,5.412842655433341,4.874726837766857
2424,Sep 16,mets,vs,CIN,,,,,5.412842655433341,4.874726837766857
2425,Sep 17,mets,vs,CIN,,,,,5.412842655433341,4.874726837766857
2426,Sep 18,mets,at,MIA,,,,,5.412842655433341,4.874726837766857
2427,Sep 19,mets,at,MIA,,,,,5.412842655433341,4.874726837766857
2428,Sep 20,mets,at,MIA,,,,,5.412842655433341,4.874726837766857
2429,Sep 21,mets,at,PHI,,,,,5.412842655433341,4.874726837766857
2430,Sep 22,mets,at,PHI,,,,,5.412842655433341,4.874726837766857
2431,Sep 23,mets,at,PHI,,,,,5.412842655433341,4.874726837766857
2432,Sep 24,mets,at,PHI,,,,,5.412842655433341,4.874726837766857
2433,Sep 26,mets,vs,MIA,,,,,5.412842655433341,4.874726837766857
2434,Sep 27,mets,vs,MIA,,,,,5.412842655433341,4.874726837766857
2435,Sep 28,mets,vs,MIA,,,,,5.412842655433341,4.874726837766857
2436,Sep 29,mets,vs,PHI,,,,,5.412842655433341,4.874726837766857
2437,Sep 30,mets,vs,PHI,,,,,5.412842655433341,4.874726837766857
2438,Oct 1,mets,vs,PHI,,,,,5.412842655433341,4.874726837766857
2439,na,na,na,na,na,na,na,na,5.412842655433341,4.874726837766857
2440,Mar 30,nationals,vs,ATL,L,2,7,Max Fried,5.412842655433341,4.874726837766857
2441,Apr 1,nationals,vs,ATL,L,1,7,Spencer Strider,5.412842655433341,4.874726837766857
2442,Apr 2,nationals,vs,ATL,W,4,1,Jared Shuster,5.412842655433341,4.874726837766857
2443,Apr 3,nationals,vs,TBR,L,2,6,Drew Rasmussen,5.412842655433341,4.874726837766857
2444,Apr 4,nationals,vs,TBR,L,6,10,Josh Fleming,5.412842655433341,4.874726837766857
2445,Apr 5,nationals,vs,TBR,L,2,7,Shane McClanahan,0.0,1.78
2446,Apr 6,nationals,at,COL,L,0,1,Kyle Freeland,0.0,3.45
2447,Apr 7,nationals,at,COL,W,10,5,Jose Urena,15.43,14.0
2448,Apr 8,nationals,at,COL,W,7,6,Austin Gomber,4.5,6.78
2449,Apr 9,nationals,at,COL,L,6,7,Ryan Feltner,9.64,6.28
2450,Apr 10,nationals,at,LAA,W,6,4,Jose Suarez,12.46,7.44
2451,Apr 11,nationals,at,LAA,L,0,2,Shohei Ohtani,0.75,2.53
2452,Apr 12,nationals,at,LAA,L,2,3,Griffin Canning,5.412842655433341,4.874726837766857
2453,Apr 14,nationals,vs,CLE,L,3,4,Cal Quantrill,6.52,4.32
2454,Apr 15,nationals,vs,CLE,L,4,6,Zach Plesac,9.0,5.53
2455,Apr 16,nationals,vs,CLE,W,7,6,Shane Bieber,2.37,2.44
2456,Apr 18,nationals,vs,BAL,L,0,1,Dean Kremer,9.49,8.96
2457,Apr 19,nationals,vs,BAL,L,0,4,Kyle Bradish,0.0,2.68
2458,Apr 21,nationals,at,MIN,W,3,2,Tyler Mahle,4.11,4.46
2459,Apr 22,nationals,at,MIN,W,10,4,Pablo Lopez,1.73,2.67
2460,Apr 23,nationals,at,MIN,L,1,3,Bailey Ober,5.412842655433341,4.874726837766857
2461,Apr 25,nationals,at,NYM,W,5,0,Jose Butto,1.8,4.88
2462,Apr 26,nationals,at,NYM,W,4,1,Kodai Senga,4.29,6.0
2463,Apr 27,nationals,at,NYM,L,8,9,Joey Lucchesi,0.0,1.57
2464,Apr 29,nationals,vs,PIT,L,3,6,Rich Hill,4.5,6.13
2465,Apr 29,nationals,vs,PIT,L,1,16,Vince Velasquez,3.76,4.08
2466,Apr 30,nationals,vs,PIT,W,7,2,Johan Oviedo,3.03,3.66
2467,May 1,nationals,vs,CHC,L,1,5,Drew Smyly,3.21,3.14
2468,May 2,nationals,vs,CHC,W,4,1,Hayden Wesneski,5.24,5.93
2469,May 3,nationals,vs,CHC,W,2,1,Marcus Stroman,2.29,3.71
2470,May 4,nationals,vs,CHC,W,4,3,Jameson Taillon,4.5,1.86
2471,May 5,nationals,at,ARI,L,1,3,Merrill Kelly,3.06,4.09
2472,May 6,nationals,at,ARI,L,7,8,Tommy Henry,6.52,5.35
2473,May 7,nationals,at,ARI,W,9,8,Ryne Nelson,6.39,5.03
2474,May 8,nationals,at,SFG,W,5,1,Anthony DeSclafani,2.13,3.31
2475,May 9,nationals,at,SFG,L,1,4,Logan Webb,3.8,4.0
2476,May 10,nationals,at,SFG,W,11,6,Sean Manaea,7.33,6.37
2477,May 12,nationals,vs,NYM,L,2,3,Tylor Megill,4.33,5.38
2478,May 13,nationals,vs,NYM,W,3,2,Joey Lucchesi,4.43,5.2
2479,May 14,nationals,vs,NYM,L,2,8,Max Scherzer,5.56,6.28
2480,May 15,nationals,vs,NYM,W,10,3,David Peterson,7.68,5.05
2481,May 16,nationals,at,MIA,L,4,5,Jesus Luzardo,3.38,3.73
2482,May 17,nationals,at,MIA,L,3,4,Edward Cabrera,5.35,4.98
2483,May 18,nationals,at,MIA,L,3,5,Eury Perez,3.86,7.14
2484,May 19,nationals,vs,DET,L,6,8,Matthew Boyd,6.47,4.91
2485,May 20,nationals,vs,DET,W,5,2,Alex Faedo,4.22,6.94
