,B/T
836,Tarik Skubal
837,Zach Logue
838,"Jul 21, 20227/21"
839,at
840,OAK
841,42.4%
842,L
843,0
844,5
845,Garrett Hill
846,Frankie Montas
847,"Jul 23, 20227/23"
848,vs
849,MIN
850,44.0%
851,L
852,4
853,8
854,Michael Pineda
855,Joe Ryan
856,"Jul 24, 20227/24"
857,vs
858,MIN
859,40.1%
860,L
861,1
862,9
863,Rony García
864,Sonny Gray
865,"Jul 25, 20227/25"
866,vs
867,SDP
868,43.4%
869,W
870,12
871,4
872,Drew Hutchison
873,Sean Manaea
874,"Jul 26, 20227/26"
875,vs
876,SDP
877,42.8%
878,L
879,4
880,6
881,Garrett Hill
882,Mike Clevinger
883,"Jul 27, 20227/27"
884,vs
885,SDP
886,49.3%
887,W
888,4
889,3
890,Tarik Skubal
891,Yu Darvish
892,"Jul 28, 20227/28"
893,at
894,TOR
895,36.3%
896,L
897,3
898,5
899,Tyler Alexander
900,Yusei Kikuchi
901,"Jul 29, 20227/29"
902,at
903,TOR
904,27.0%
905,W
906,4
907,2
908,Bryan Garcia
909,Alek Manoah
910,"Jul 30, 20227/30"
911,at
912,TOR
913,33.5%
914,L
915,3
916,5
917,Drew Hutchison
918,Ross Stripling
919,"Jul 31, 20227/31"
920,at
921,TOR
922,32.4%
923,L
924,1
925,4
926,Garrett Hill
927,José Berríos
928,"Aug 1, 20228/1"
929,at
930,MIN
931,50.8%
932,L
933,3
934,5
935,Tarik Skubal
936,Aaron Sanchez
937,"Aug 2, 20228/2"
938,at
939,MIN
940,44.5%
941,W
942,5
943,3
944,Matt Manning
945,Chris Archer
946,"Aug 3, 20228/3"
947,at
948,MIN
949,39.7%
950,L
951,1
952,4
953,Tyler Alexander
954,Joe Ryan
955,"Aug 4, 20228/4"
956,vs
957,TBR
958,42.1%
959,L
960,2
961,6
962,Drew Hutchison
963,Jeffrey Springs
964,"Aug 5, 20228/5"
965,vs
966,TBR
967,38.8%
968,L
969,3
970,5
971,Bryan Garcia
972,Corey Kluber
973,"Aug 6, 20228/6"
974,vs
975,TBR
976,40.2%
977,W
978,9
979,1
980,Garrett Hill
981,Shane McClanahan
982,"Aug 7, 20228/7"
983,vs
984,TBR
985,42.3%
986,L
987,0
988,7
989,Matt Manning
990,Drew Rasmussen
991,"Aug 9, 20228/9"
992,vs
993,CLE
994,42.3%
995,L
996,2
997,5
998,Tyler Alexander
999,Shane Bieber
1000,"Aug 10, 20228/10"
1001,vs
1002,CLE
1003,47.4%
1004,L
1005,2
1006,3
1007,Drew Hutchison
1008,Aaron Civale
1009,"Aug 11, 20228/11"
1010,vs
1011,CLE
1012,48.0%
1013,L
1014,3
1015,4
1016,Garrett Hill
1017,Zach Plesac
1018,"Aug 12, 20228/12"
1019,at
1020,CHW
1021,40.0%
1022,L
1023,0
1024,2
1025,Daniel Norris
1026,Michael Kopech
1027,"Aug 13, 20228/13"
1028,at
1029,CHW
1030,34.4%
1031,L
1032,4
1033,6
1034,Matt Manning
1035,Lucas Giolito
1036,"Aug 14, 20228/14"
1037,at
1038,CHW
1039,38.6%
1040,L
1041,3
1042,5
1043,Tyler Alexander
1044,Lance Lynn
1045,"Aug 15, 20228/15"
1046,at
1047,CLE
1048,38.8%
1049,L
1050,1
1051,4
1052,Drew Hutchison
1053,Aaron Civale
1054,"Aug 15, 20228/15"
1055,at
1056,CLE
1057,32.2%
1058,W
1059,7
1060,5
1061,Bryan Garcia
1062,Xzavion Curry
1063,"Aug 16, 20228/16"
1064,at
1065,CLE
1066,39.9%
1067,W
1068,4
1069,3
1070,Garrett Hill
1071,Zach Plesac
1072,"Aug 17, 20228/17"
1073,at
1074,CLE
1075,43.1%
1076,L
1077,4
1078,8
1079,Daniel Norris
1080,Cal Quantrill
1081,"Aug 19, 20228/19"
1082,vs
1083,LAA
1084,44.2%
1085,L
1086,0
1087,1
1088,Matt Manning
1089,Patrick Sandoval
1090,"Aug 20, 20228/20"
1091,vs
1092,LAA
1093,47.2%
1094,W
1095,4
1096,3
1097,Tyler Alexander
1098,Reid Detmers
1099,"Aug 21, 20228/21"
1100,vs
1101,LAA
1102,44.9%
1103,W
1104,4
1105,0
1106,Eduardo Rodriguez
1107,Shohei Ohtani
1108,"Aug 23, 20228/23"
1109,vs
1110,SFG
1111,37.2%
1112,L
1113,1
1114,3
1115,Drew Hutchison
1116,Carlos Rodón
1117,"Aug 24, 20228/24"
1118,vs
1119,SFG
1120,42.8%
1121,W
1122,6
1123,1
1124,Matt Manning
1125,Logan Webb
1126,"Aug 26, 20228/26"
1127,at
1128,TEX
1129,45.6%
1130,L
1131,6
1132,7
1133,Tyler Alexander
1134,Glenn Otto
1135,"Aug 27, 20228/27"
1136,at
1137,TEX
1138,54.6%
1139,W
1140,11
1141,2
1142,Eduardo Rodriguez
1143,Dallas Keuchel
1144,"Aug 28, 20228/28"
1145,at
1146,TEX
1147,44.0%
1148,W
1149,9
1150,8
1151,Drew Hutchison
1152,Kohei Arihara
1153,"Aug 30, 20228/30"
1154,vs
1155,SEA
1156,43.0%
1157,L
1158,3
1159,9
1160,Matt Manning
1161,George Kirby
1162,"Aug 31, 20228/31"
1163,vs
1164,SEA
1165,48.9%
1166,L
1167,3
1168,5
1169,Tyler Alexander
1170,Marco Gonzales
1171,"Sep 1, 20229/1"
1172,vs
1173,SEA
1174,51.0%
1175,L
1176,0
1177,7
1178,Eduardo Rodriguez
1179,Logan Gilbert
1180,"Sep 2, 20229/2"
1181,vs
1182,KCR
1183,50.5%
1184,W
1185,5
1186,4
1187,Drew Hutchison
1188,Daniel Lynch
1189,"Sep 3, 20229/3"
1190,vs
1191,KCR
1192,55.2%
1193,L
1194,2
1195,12
1196,Michael Pineda
1197,Jonathan Heasley
1198,"Sep 4, 20229/4"
1199,vs
1200,KCR
1201,57.5%
1202,L
1203,2
1204,3
1205,Matt Manning
1206,Max Castillo
1207,"Sep 5, 20229/5"
1208,at
1209,LAA
1210,42.1%
1211,L
1212,0
1213,10
1214,Tyler Alexander
1215,José Suarez
1216,"Sep 6, 20229/6"
1217,at
1218,LAA
1219,48.6%
1220,L
1221,4
1222,5
1223,Eduardo Rodriguez
1224,Mike Mayers
1225,"Sep 7, 20229/7"
1226,at
1227,LAA
1228,33.9%
1229,W
1230,5
1231,4
1232,Drew Hutchison
1233,Patrick Sandoval
1234,"Sep 9, 20229/9"
1235,at
1236,KCR
1237,42.1%
1238,W
1239,10
1240,2
1241,Joey Wentz
1242,Daniel Lynch
1243,"Sep 10, 20229/10"
1244,at
1245,KCR
1246,48.4%
1247,W
1248,8
1249,4
1250,Matt Manning
1251,Jonathan Heasley
1252,"Sep 11, 20229/11"
1253,at
1254,KCR
1255,40.5%
1256,L
1257,0
1258,4
1259,Tyler Alexander
1260,Brady Singer
1261,"Sep 12, 20229/12"
1262,vs
1263,HOU
1264,41.7%
1265,L
1266,0
1267,7
1268,Eduardo Rodriguez
1269,Framber Valdez
1270,"Sep 13, 20229/13"
1271,vs
1272,HOU
1273,38.6%
1274,L
1275,3
1276,6
1277,Drew Hutchison
1278,Hunter Brown
1279,"Sep 14, 20229/14"
1280,vs
1281,HOU
1282,37.6%
1283,L
1284,1
1285,2
1286,Joey Wentz
1287,Cristian Javier
1288,"Sep 16, 20229/16"
1289,vs
1290,CHW
1291,43.0%
1292,W
1293,3
1294,2
1295,Matt Manning
1296,Lucas Giolito
1297,"Sep 17, 20229/17"
1298,vs
1299,CHW
1300,54.5%
1301,L
1302,3
1303,4
1304,Eduardo Rodriguez
1305,Davis Martin
1306,"Sep 18, 20229/18"
1307,vs
1308,CHW
1309,48.0%
1310,L
1311,5
1312,11
1313,Drew Hutchison
1314,Vince Velasquez
1315,"Sep 19, 20229/19"
1316,at
1317,BAL
1318,42.2%
1319,W
1320,11
1321,0
1322,Tyler Alexander
1323,Tyler Wells
1324,"Sep 20, 20229/20"
1325,at
1326,BAL
1327,42.6%
1328,W
1329,3
1330,2
1331,Joey Wentz
1332,Austin Voth
1333,"Sep 21, 20229/21"
1334,at
1335,BAL
1336,48.6%
1337,L
1338,1
1339,8
1340,Matt Manning
1341,Jordan Lyles
1342,"Sep 23, 20229/23"
1343,at
1344,CHW
1345,39.7%
1346,W
1347,5
1348,3
1349,Eduardo Rodriguez
1350,Lucas Giolito
1351,"Sep 24, 20229/24"
1352,at
1353,CHW
1354,38.7%
1355,W
1356,7
1357,2
1358,Drew Hutchison
1359,Davis Martin
1360,"Sep 25, 20229/25"
1361,at
1362,CHW
1363,33.5%
1364,W
1365,4
1366,1
1367,Tyler Alexander
1368,Dylan Cease
1369,"Sep 27, 20229/27"
1370,vs
1371,KCR
1372,46.7%
1373,W
1374,4
1375,3
1376,Joey Wentz
1377,Zack Greinke
1378,"Sep 28, 20229/28"
1379,vs
1380,KCR
1381,53.2%
1382,W
1383,2
1384,1
1385,Will Vest
1386,Daniel Lynch
1387,"Sep 29, 20229/29"
1388,vs
1389,KCR
1390,59.6%
1391,W
1392,10
1393,3
1394,Eduardo Rodriguez
1395,Jonathan Heasley
1396,"Sep 30, 20229/30"
1397,vs
1398,MIN
1399,47.5%
1400,L
1401,0
1402,7
1403,Tyler Alexander
1404,Joe Ryan
1405,"Oct 1, 202210/1"
1406,vs
1407,MIN
1408,50.1%
1409,W
1410,3
1411,2
1412,Drew Hutchison
1413,Dylan Bundy
1414,"Oct 2, 202210/2"
1415,vs
1416,MIN
1417,46.2%
1418,W
1419,5
1420,2
1421,Joey Wentz
1422,Simeon Woods Richardson
1423,"Oct 3, 202210/3"
1424,at
1425,SEA
1426,25.5%
1427,W
1428,4
1429,3
1430,Bryan Garcia
1431,George Kirby
1432,"Oct 4, 202210/4"
1433,at
1434,SEA
1435,46.0%
1436,L
1437,6
1438,7
1439,Eduardo Rodriguez
1440,Chris Flexen
1441,"Oct 4, 202210/4"
1442,at
1443,SEA
1444,44.6%
1445,L
1446,6
1447,9
1448,Will Vest
1449,Justus Sheffield
1450,"Oct 5, 202210/5"
1451,at
1452,SEA
1453,41.9%
1454,L
1455,4
1456,5
1457,Tyler Alexander
1458,Marco Gonzales
